time;logger;level;message;exception
2012-02-25 19:13:20.7294;Raven.Database.Server.HttpServer;Debug;Request #  27: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=1218056373;
2012-02-25 19:13:21.8814;Raven.Database.Server.HttpServer;Debug;Request #  28: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=1571095714;
2012-02-25 19:13:21.8975;Raven.Database.Server.HttpServer;Debug;Request #  29: GET     -     0 ms - <default>  - 200 - /build/version?noCache=1717830997;
2012-02-25 19:13:21.8975;Raven.Database.Server.HttpServer;Debug;Request #  30: GET     -     1 ms - <default>  - 200 - /license/status?noCache=-1588266696;
2012-02-25 19:13:22.0035;Raven.Database.Server.HttpServer;Debug;Request #  31: GET     -    27 ms - <default>  - 200 - /databases/?noCache=883662222;
2012-02-25 19:13:22.0035;Raven.Database.Server.HttpServer;Debug;Request #  32: GET     -    32 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=/&noCache=-986854832;
2012-02-25 19:13:22.0345;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:22.0345;Raven.Database.Server.HttpServer;Debug;Request #  33: GET     -    63 ms - <default>  - 200 - /docs/tasks/1?noCache=-412870504;
2012-02-25 19:13:22.0785;Raven.Database.Server.HttpServer;Debug;Request #  34: GET     -    92 ms - <default>  - 200 - /stats?noCache=-950054006;
2012-02-25 19:13:22.2335;Raven.Database.Server.HttpServer;Debug;Request #  35: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=tasks/1/&noCache=-1529534246;
2012-02-25 19:13:22.8845;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:28.9339;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:34.0061;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:39.0624;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:44.1367;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:49.4220;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:13:55.5214;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:00.7337;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:05.8090;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:10.9333;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:16.0345;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:22.0919;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:22.1189;Raven.Database.Server.HttpServer;Debug;Request #  36: GET     -    29 ms - <default>  - 200 - /stats?noCache=-1971093479;
2012-02-25 19:14:27.2082;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:27.2332;Raven.Database.Server.HttpServer;Debug;Request #  37: GET     -    27 ms - <default>  - 200 - /stats?noCache=-1086058943;
2012-02-25 19:14:32.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:33.3455;Raven.Database.Server.HttpServer;Debug;Request #  38: GET     -    42 ms - <default>  - 200 - /stats?noCache=468646071;
2012-02-25 19:14:37.3808;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:42.4761;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:42.4761;Raven.Database.Server.HttpServer;Debug;Request #  39: GET     -    29 ms - <default>  - 200 - /docs/tasks/1?noCache=-642303173;
2012-02-25 19:14:48.4704;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:50.0105;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-02-25 19:14:50.0105;Raven.Database.Server.HttpServer;Debug;Request #  40: GET     -     2 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-02-25 19:14:51.5576;Raven.Database.Server.HttpServer;Debug;Request #  41: GET     -    28 ms - <default>  - 200 - /stats?noCache=908452589;
2012-02-25 19:14:53.5977;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:53.5977;Raven.Database.Server.HttpServer;Debug;Request #  42: GET     -    45 ms - <default>  - 200 - /docs/tasks/1?noCache=462308305;
2012-02-25 19:14:57.6669;Raven.Database.Server.HttpServer;Debug;Request #  43: GET     -    30 ms - <default>  - 200 - /stats?noCache=-192257776;
2012-02-25 19:14:57.8589;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Tasks/ByCreatedAt_Date for: CreatedAt_Date:20120225000000000;
2012-02-25 19:14:57.8919;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:14:57.9099;Raven.Database.Server.HttpServer;Debug;Request #  44: GET     -    70 ms - <default>  - 200 - /indexes/dynamic/Tasks?query=CreatedAt.Date%253A20120225000000000&start=0&pageSize=128&aggregation=None;
2012-02-25 19:14:59.6410;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:04.7123;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:08.0035;Raven.Database.Server.HttpServer;Debug;Request #  45: GET     -     3 ms - <default>  - 200 - /docs?pageSize=0&noCache=-1971257504;
2012-02-25 19:15:09.2216;Raven.Database.Server.HttpServer;Debug;Request #  46: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=-160857344;
2012-02-25 19:15:09.2786;Raven.Database.Server.HttpServer;Debug;Request #  47: GET     -     1 ms - <default>  - 200 - /license/status?noCache=1575562717;
2012-02-25 19:15:09.2786;Raven.Database.Server.HttpServer;Debug;Request #  48: GET     -     1 ms - <default>  - 200 - /build/version?noCache=-55948358;
2012-02-25 19:15:09.3746;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:09.3756;Raven.Database.Server.HttpServer;Debug;Request #  49: GET     -     3 ms - <default>  - 200 - /docs/tasks/1?noCache=-1159527740;
2012-02-25 19:15:09.3756;Raven.Database.Server.HttpServer;Debug;Request #  50: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=/&noCache=1124748732;
2012-02-25 19:15:09.4136;Raven.Database.Server.HttpServer;Debug;Request #  51: GET     -    35 ms - <default>  - 200 - /stats?noCache=-714619739;
2012-02-25 19:15:09.6146;Raven.Database.Server.HttpServer;Debug;Request #  52: GET     -     1 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=tasks/1/&noCache=-1989351713;
2012-02-25 19:15:10.1806;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:16.2290;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:20.4732;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Tasks;
2012-02-25 19:15:20.4732;Raven.Database.Server.HttpServer;Debug;Request #  53: GET     -    13 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253ATasks&start=0&pageSize=0&aggregation=None;
2012-02-25 19:15:20.4862;Raven.Database.Server.HttpServer;Debug;Request #  54: POST    -   143 ms - <default>  - 200 - /multi_get/;
2012-02-25 19:15:21.0833;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Tasks;
2012-02-25 19:15:21.0833;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'tasks/1' was found;
2012-02-25 19:15:26.3856;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Tasks;
